Datetime,Consumption,Region,Year,Month,Day,Hour,Weekday,Weekend,Peak_Hour
2015-01-01 00:00:00,17130.22,AEP,2015,1,1,0,Thursday,False,False
2015-01-01 00:00:00,8061.28,PJMW,2015,1,1,0,Thursday,False,False
2015-01-01 01:00:00,3367.73,NI,2015,1,1,1,Thursday,False,False
2015-01-01 02:00:00,1829.98,EKPC,2015,1,1,2,Thursday,False,False
2015-01-01 03:00:00,7542.92,DOM,2015,1,1,3,Thursday,False,False
2015-01-01 04:00:00,2253.83,DAYTON,2015,1,1,4,Thursday,False,False
2015-01-01 05:00:00,13844.05,AEP,2015,1,1,5,Thursday,False,False
2015-01-01 05:00:00,6514.85,PJMW,2015,1,1,5,Thursday,False,False
2015-01-01 06:00:00,3467.58,NI,2015,1,1,6,Thursday,False,False
2015-01-01 07:00:00,2162.99,EKPC,2015,1,1,7,Thursday,False,False
2015-01-01 08:00:00,9985.06,DOM,2015,1,1,8,Thursday,False,False
2015-01-01 09:00:00,3504.14,DAYTON,2015,1,1,9,Thursday,False,False
2015-01-01 10:00:00,19001.37,AEP,2015,1,1,10,Thursday,False,False
2015-01-01 10:00:00,8941.82,PJMW,2015,1,1,10,Thursday,False,False
2015-01-01 11:00:00,3778.76,NI,2015,1,1,11,Thursday,False,False
2015-01-01 12:00:00,2135.24,EKPC,2015,1,1,12,Thursday,False,False
2015-01-01 13:00:00,8885.25,DOM,2015,1,1,13,Thursday,False,False
2015-01-01 14:00:00,3021.7,DAYTON,2015,1,1,14,Thursday,False,False
2015-01-01 15:00:00,18368.12,AEP,2015,1,1,15,Thursday,False,False
2015-01-01 15:00:00,8643.82,PJMW,2015,1,1,15,Thursday,False,False
2015-01-01 16:00:00,3887.63,NI,2015,1,1,16,Thursday,False,False
2015-01-01 17:00:00,2391.68,EKPC,2015,1,1,17,Thursday,False,True
2015-01-01 18:00:00,10505.85,DOM,2015,1,1,18,Thursday,False,True
2015-01-01 19:00:00,3403.3,DAYTON,2015,1,1,19,Thursday,False,True
2015-01-01 20:00:00,20324.94,AEP,2015,1,1,20,Thursday,False,True
2015-01-01 20:00:00,9564.68,PJMW,2015,1,1,20,Thursday,False,True
2015-01-01 21:00:00,3814.71,NI,2015,1,1,21,Thursday,False,True
2015-01-01 22:00:00,2115.49,EKPC,2015,1,1,22,Thursday,False,False
